股票代號,股票名稱,產業,最新股價,漲跌幅%,5星總分,K值,D值,J值,MA5,MA20,均線差%,成交量,5日均量,量比,投信連買天數,投信淨買比%,外資連買天數,外資買超張數,投信買超張數,自營商買超張數,DIF,低流動性風險,均線過發散,黑名單否決,更新時間
3532,台勝科,半導體,445.0,+2.42%,1,58.1,60.6,53.2,441.7,413.48,6.8,11441,7282.4,1.57,1,0.6,2,1459,69,7,20.0442,正常,正常,正常,2026-09-23
6206,飛捷,電腦週邊,139.0,-1.07%,1,68.4,66.4,72.4,140.3,138.0,1.7,477,882.8,0.54,0,0.0,0,-1,0,-9,0.4147,正常,正常,正常,2026-09-23
8016,矽創,半導體,281.5,-0.18%,1,56.2,44.8,78.9,280.4,285.07,1.6,367,497.2,0.74,0,0.0,0,-4,-16,-1,-4.1788,⚠️低流動,正常,🔴否決黑名單,2026-09-23
2377,微星,電腦週邊,151.0,-1.63%,1,57.9,54.0,65.9,153.1,152.45,0.4,6135,6155.0,1.0,0,0.0,0,-549,-14,-26,0.8807,正常,正常,正常,2026-09-23
3533,嘉澤,電子零組件,1690.0,-3.15%,1,63.6,46.1,98.4,1633.0,1636.75,0.2,2718,813.2,3.34,1,4.27,0,-663,116,-134,-36.2453,正常,正常,正常,2026-09-23
9933,中鼎,其他,41.1,+0.49%,1,54.2,65.1,32.4,41.61,41.06,1.3,942,2921.8,0.32,1,0.11,0,-3,1,-1,0.2788,正常,正常,正常,2026-09-23
8932,智通,資訊服務,93.2,-0.53%,1,67.7,56.9,89.4,92.76,92.66,0.1,1070,2147.0,0.5,0,0.0,1,134,0,-131,-2.6769,正常,正常,正常,2026-09-23
6443,元晶,光電,27.7,-2.46%,1,68.7,56.4,93.2,26.68,25.12,6.2,10047,14456.5,0.69,0,0.0,1,666,0,0,0.0192,正常,正常,正常,2026-09-23
2360,致茂,其他電子,2325.0,-4.71%,1,55.5,48.3,70.0,2303.0,2150.25,7.1,2628,2362.7,1.11,0,0.0,1,251,-276,29,63.4573,正常,正常,正常,2026-09-23
6412,群電,電子零組件,74.3,+0.00%,1,53.3,39.2,81.7,74.14,75.78,2.2,244,450.1,0.54,1,2.05,0,-41,5,-7,-1.4338,⚠️低流動,正常,🔴否決黑名單,2026-09-23
